schemaVersion,recordType,source.name,source.url,content.startupName,content.pricingModel,content.description,collectedAt
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/scale-ai,Scale AI,,"Scale accelerates the development of AI within organizations of any size to deliver critical business insights and operational efficiency, via a data-centric infrastructure platform.",2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/checkr,Checkr,,"Checkr builds people infrastructure for the future of work, offering faster and fairer background screening for job seekers.",2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/mirrors,Mirrors,,"Mirrors provides regression testing for AI agents, rebuilding the tools an agent calls from production traces to replay real sessions against changes.",2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/shepherd-robotics,Shepherd Robotics,,Shepherd Robotics builds general-purpose robots for skilled physical work in AI infrastructure and advanced manufacturing.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/sona8,Sona8,,"Sona8 is a voice agent that interviews every employee at a company about how their work gets done, building process maps for transformation teams.",2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/byteask,ByteAsk,,"ByteAsk is an AI coding agent built for C and C++ that builds, debugs, and tests every change with the real toolchain.",2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/frontrunner,Frontrunner,,"Frontrunner builds agents that research accounts, find prospects, run campaigns, and update CRMs for go-to-market teams.",2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/the-agentic-data-co,The Agentic Data Co.,,The Agentic Data Co. designs and collects audio datasets for training speech models.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/superradiant,SuperRadiant,,SuperRadiant builds general-purpose robotic experimentalists that unite scientific reasoning and physical action for discovery.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/dreamscale-labs,Dreamscale Labs,,"Dreamscale Labs builds a fast cloud inference platform for robotics, offloading physical AI model inference to the cloud.",2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/hopper,Hopper,,Hopper lets customers replace models like GPT-4.1 with faster/cheaper open alternatives such as Gemma-4 and qwen3-tts.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/onepatch,OnePatch,,"OnePatch is a forward-deployed AI SRE that instruments services, catches incidents, and drives each one to resolution.",2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/nodus-compute,Nodus Compute,,Nodus Compute provides an intelligent execution layer for AI workloads.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/workers-io,Workers IO,,"Workers IO verifies systems across millions of interleavings, faults, and timings to find conditions that break software properties.",2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/sentient-os,Sentient OS,,Sentient OS runs an on-device LLM nightly on a Mac to understand a user's life context and prepare their day locally.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/studio,Studio,,Studio is a simulation lab building live market models of interconnected audience segments from real consumer-behavior data.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/opentag,OpenTag,,OpenTag is an AI coworker in Slack with full company context that answers questions and keeps a wiki up to date automatically.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/lantern-ai,Lantern AI,,Lantern learns what exceptional looks like for a team and runs the full hiring loop from sourcing through offers.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/callbook-ai,Callbook AI,,"Callbook AI is a collections agency operated by AI that finds, contacts, and negotiates with borrowers on late-stage portfolios.",2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/marker,Marker,,"Marker is a platform for rebuilding enterprises agent-first, delivered by forward-deployed engineers.",2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/antimattr,antimattr,,antimattr builds a voice-first hardware interface (ring + earphones) for human-agent interaction.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/touchy,Touchy,,"Touchy is a personal AI assistant on iPhone that sees, remembers, and takes action across apps via one button press.",2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/akon-labs,Akon Labs,,Akon Labs (description not published on YC profile at time of collection).,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/dream,Dream,,Dream makes AI cameras that automatically document vehicle and equipment condition to catch damage teams miss.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/palisade,Palisade,,Palisade spins up a personal AI sales agent for every visitor to a marketplace website.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/magma,Magma,,Magma enables companies to monetize their agents' traces.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/mochi,Mochi,,Mochi is an app to watch and create AI-produced anime microdramas with a large creator community.,2026-09-12T12:22:12.680168+00:00
