raw_name,canonical_name,method,confidence
Scale AI,Scale AI,exact,1.0
Checkr,Checkr,new_entity,1.0
Mirrors,Mirrors,new_entity,1.0
Shepherd Robotics,Shepherd Robotics,new_entity,1.0
Sona8,Sona8,new_entity,1.0
ByteAsk,ByteAsk,new_entity,1.0
Frontrunner,Frontrunner,new_entity,1.0
The Agentic Data Co.,The Agentic Data Co.,new_entity,1.0
SuperRadiant,SuperRadiant,new_entity,1.0
Dreamscale Labs,Dreamscale Labs,new_entity,1.0
Hopper,Hopper,new_entity,1.0
OnePatch,OnePatch,new_entity,1.0
Nodus Compute,Nodus Compute,new_entity,1.0
Workers IO,Workers IO,new_entity,1.0
Sentient OS,Sentient OS,new_entity,1.0
Studio,Studio,new_entity,1.0
OpenTag,OpenTag,new_entity,1.0
Lantern AI,Lantern AI,new_entity,1.0
Callbook AI,Callbook AI,new_entity,1.0
Marker,Marker,new_entity,1.0
antimattr,antimattr,new_entity,1.0
Touchy,Touchy,new_entity,1.0
Akon Labs,Akon Labs,new_entity,1.0
Dream,Dream,new_entity,1.0
Palisade,Palisade,new_entity,1.0
Magma,Magma,new_entity,1.0
Mochi,Mochi,new_entity,1.0
DeepReach Inc.,DeepReach Inc.,new_entity,1.0
Moving Atoms,Moving Atoms,new_entity,1.0
Tenor,Tenor,new_entity,1.0
Simulithic,Simulithic,new_entity,1.0
Vorelios,Vorelios,new_entity,1.0
Enact,Enact,new_entity,1.0
Mosaic,Mosaic,new_entity,1.0
Erinys,Erinys,new_entity,1.0
Marengo,Marengo,new_entity,1.0
Prodigy Research,Prodigy Research,new_entity,1.0
Dawn Industries,Dawn Industries,new_entity,1.0
Hebbian Robotics,Hebbian Robotics,new_entity,1.0
Qlo,Qlo,new_entity,1.0
Neuromorphic,Neuromorphic,new_entity,1.0
Jcode,Jcode,new_entity,1.0
Forward,Forward,new_entity,1.0
Click,Click,new_entity,1.0
Agent FM,Agent FM,new_entity,1.0
Riften,Riften,new_entity,1.0
Qokedas,Qokedas,new_entity,1.0
Omanta,Omanta,new_entity,1.0
Rasyn,Rasyn,new_entity,1.0
IMPACT Drones,IMPACT Drones,new_entity,1.0
Future,Future,new_entity,1.0
WITHIN,WITHIN,new_entity,1.0
Upwork,Upwork,new_entity,1.0
Shield AI,Shield AI,new_entity,1.0
Scale AI,Scale AI,exact,1.0
Together AI,Together AI,exact,1.0
Figure,Figure,new_entity,1.0
Lightning AI,Lightning AI,new_entity,1.0
